Company,Website,Location,Rating,Review Count,Hourly Rate,Min Project Size,Employee Size
N-iX,https://www.n-ix.com/custom-software-development/?utm_source=clutch.co&utm_medium=referral&utm_campaign=developers,"L'viv, Ukraine",4.8,28 REVIEWS,$50 - $99 / hr,"$100,000+","1,000 - 9,999"
Imaginary Cloud,https://web.imaginarycloud.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=softwaredevglobal,"London, United Kingdom",5.0,19 REVIEWS,$50 - $99 / hr,"$25,000+",50 - 249
Altar.io,https://altar.io/?atm_id=MS41ODU3NDczODY5NTVFMTI=,"Lisboa, Portugal",4.9,22 REVIEWS,$50 - $99 / hr,"$25,000+",10 - 49
Simform,https://www.simform.com/services/custom-software-development/?utm_source=clutch.co&utm_medium=sp-referral&utm_campaign=software-dev,"Orlando, FL",5.0,34 REVIEWS,$25 - $49 / hr,"$25,000+",250 - 999
10Pearls,https://10pearls.com/us-custom-software-development/?utm_source=clutch.co&utm_medium=referral&utm_campaign=developers,"Washington, DC",4.9,29 REVIEWS,$25 - $49 / hr,"$50,000+","1,000 - 9,999"
BairesDev,https://bairesdev.com/landing/c/software-development/?utm_source=clutch&utm_medium=referral&utm_campaign=developers,"San Francisco, CA",4.9,45 REVIEWS,$50 - $99 / hr,"$50,000+","1,000 - 9,999"
ELEKS,https://eleks.com/custom-software-development-clutch3/?utm_source=clutch.co&utm_medium=referral&utm_campaign=Clutch-Sponsored-clutch.co/developers,"Tallinn, Estonia",4.8,25 REVIEWS,$50 - $99 / hr,"$50,000+","1,000 - 9,999"
Fingent,https://www.fingent.com/custom-software-development/?utm_source=Clutch&utm_medium=Software-Dev&utm_campaign=listing,"White Plains, NY",4.9,48 REVIEWS,$25 - $49 / hr,"$25,000+",250 - 999
Brainhub,https://brainhub.eu/?utm_source=clutch&utm_medium=sponsorship&utm_campaign=software-development-main,"Gliwice, Poland",4.8,33 REVIEWS,$50 - $99 / hr,"$25,000+",50 - 249
Intellias,https://www.intellias.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory,"L'viv, Ukraine",4.8,30 REVIEWS,$50 - $99 / hr,"$50,000+","1,000 - 9,999"
Sidebench,https://sidebench.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=developers,"Santa Monica, CA",4.9,44 REVIEWS,$100 - $149 / hr,"$75,000+",50 - 249
Itransition,https://www.itransition.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=developers,"Denver, CO",4.9,38 REVIEWS,$25 - $49 / hr,"$25,000+","1,000 - 9,999"
Geniusee,https://geniusee.com/?utm_source=clutch.co&utm_medium=referral,"Warszawa, Poland",5.0,42 REVIEWS,$25 - $49 / hr,"$50,000+",50 - 249
itCraft,https://itcraftapps.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=profile,"Warszawa, Poland",5.0,58 REVIEWS,$50 - $99 / hr,"$50,000+",50 - 249
Q agency,https://q.agency/?utm_source=clutch.co&utm_medium=referral&utm_campaign=developers,"Zagreb, Croatia",4.8,27 REVIEWS,$50 - $99 / hr,"$100,000+",250 - 999
S-PRO,https://s-pro.io/?utm_source=clutch.co&utm_medium=referral&utm_campaign=developers,"Warszawa, Poland",4.9,43 REVIEWS,$50 - $99 / hr,"$25,000+",50 - 249
Azumo,https://azumo.com/growth/software-development-leader?utm_source=profile_viewers&utm_medium=referral&utm_campaign=clutch,"San Francisco, CA",4.8,10 REVIEWS,$25 - $49 / hr,"$25,000+",50 - 249
Diffco,https://diffco.us/?utm_source=clutch.co&utm_medium=referral&utm_campaign=developers,"Sunnyvale, CA",5.0,12 REVIEWS,$50 - $99 / hr,"$25,000+",10 - 49
Utility,https://utilitynyc.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=developers,"New York, NY",4.8,25 REVIEWS,$100 - $149 / hr,"$50,000+",50 - 249
Andersen Inc.,https://andersenlab.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=catalog&utm_campaign=developers,"New York, NY",4.9,97 REVIEWS,$25 - $49 / hr,"$25,000+","1,000 - 9,999"
Radixweb,https://radixweb.com/?utm_source=Clutch&utm_medium=Paid-Soft-Global&utm_campaign=CustomSoftDev,"Artesia, CA",4.8,44 REVIEWS,$25 - $49 / hr,"$25,000+",250 - 999
Light IT Global,https://light-it.net/?utm_source=clutch.co&utm_medium=referral&utm_campaign=developers,"Kyiv, Ukraine",4.9,35 REVIEWS,$25 - $49 / hr,"$25,000+",50 - 249
8base,https://www.8base.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=developers,"Coral Gables, FL",4.6,9 REVIEWS,$50 - $99 / hr,"$25,000+",10 - 49
Fulcrum,https://fulcrum.rocks/?utm_source=clutch&utm_medium=referral&utm_campaign=developers,"Warszawa, Poland",4.9,25 REVIEWS,$25 - $49 / hr,"$10,000+",50 - 249
Tallium Inc.,https://tallium.com/?utm_source=clutch.co&utm_medium=referral,"Kyiv, Ukraine",5.0,26 REVIEWS,$25 - $49 / hr,"$10,000+",10 - 49
MojoTech,https://www.mojotech.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=developers,"Providence, RI",5.0,12 REVIEWS,$150 - $199 / hr,"$100,000+",50 - 249
GO ONLINE,https://goonline.io/?utm_source=clutch.co&utm_medium=referral&utm_campaign=developers,"Warszawa, Poland",5.0,11 REVIEWS,$25 - $49 / hr,"$10,000+",10 - 49
3XM Group,http://www.3xmgroup.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=developers,"Córdoba, Argentina",4.9,8 REVIEWS,$50 - $99 / hr,"$10,000+",50 - 249
u2i,https://www.u2i.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=developers,"Kraków, Poland",4.9,14 REVIEWS,$50 - $99 / hr,"$10,000+",50 - 249
Geomotiv,https://geomotiv.com/?utm_source=clutch&utm_medium=ppc&utm_campaign=swd_november,"Alexandria, VA",4.8,5 REVIEWS,$25 - $49 / hr,"$25,000+",50 - 249
